,Test(with pretraining),Train(with pretraining)
1,77.01067615658363,74.94216876045411
2,78.76156583629893,77.75009786825154
3,79.16014234875445,78.77148652976975
4,78.932384341637,79.54731485106231
5,80.355871886121,79.94946439375067
6,78.26334519572954,80.19146588846579
7,79.94306049822065,80.43702622869141
8,80.59786476868328,80.59005658564362
9,79.54448398576513,80.89255845403751
10,80.8967971530249,81.06694188405281
11,80.52669039145907,81.03491227445816
12,80.11387900355872,81.36588490693619
13,80.96797153024912,81.39079682550981
14,80.18505338078292,81.57941563756717
15,80.31316725978648,81.4762091177622
16,81.067615658363,81.58297448307769
17,81.52313167259787,81.66126908430905
18,81.19572953736655,81.65415139328802
19,80.24199288256227,81.83565251432435
20,80.0,81.86412327840848
21,81.08185053380782,81.98156518025553
22,81.42348754448399,81.86056443289797
23,81.02491103202847,81.91394711555571
24,81.26690391459074,81.90682942453468
25,81.50889679715303,82.05274209046586
26,81.92170818505338,82.14527207373928
27,81.15302491103203,82.02783017189223
28,80.61209964412811,82.05630093597637
29,81.8932384341637,82.25559628456529
30,81.19572953736655,82.15594861027083
31,80.65480427046263,82.2164489839496
32,80.42704626334519,82.14171322822877
33,81.45195729537366,81.97444748923449
34,81.09608540925267,82.19509591088651
35,80.82562277580071,82.31253781273355
36,82.09252669039147,82.14527207373928
37,78.91814946619218,82.30897896722303
38,81.80782918149467,82.21289013843909
39,81.45195729537366,82.4762447062173
40,81.49466192170819,82.26627282109683
41,81.3950177935943,82.22000782946013
42,81.43772241992883,82.15238976476031
43,81.29537366548043,82.60080429908538
44,80.61209964412811,82.49403893376989
45,81.56583629893238,82.22356667497064
46,81.067615658363,82.41930317804903
47,80.15658362989323,82.44065625111215
48,80.14234875444839,82.37659703192284
49,81.08185053380782,82.63283390868003
50,81.25266903914591,82.18086052884445
